,Sentence,Intent
0,Где купить adidas,buy_sportswear
1,Где купить reebok,buy_sportswear
2,Где купить fila,buy_sportswear
3,Где купить deha,buy_sportswear
4,Где купить juicy couture,buy_sportswear
5,Где купить new balance,buy_sportswear
6,Где купить ascot,buy_sportswear
7,Где купить roxy,buy_sportswear
8,Где купить nike,buy_sportswear
9,Где купить mizuno,buy_sportswear
10,Где купить mikasa,buy_sportswear
11,Где купить errea,buy_sportswear
12,Где купить the north face,buy_sportswear
13,Где купить arcteryx,buy_sportswear
14,Где купить salomon,buy_sportswear
15,Где купить outventure,buy_sportswear
16,Где купить jordan,buy_sportswear
17,Где купить timberland,buy_sportswear
18,Где купить kappa,buy_sportswear
19,Где купить speedo,buy_sportswear
20,Где купить columbia,buy_sportswear
21,Где купить quiksilver,buy_sportswear
22,Где купить umbro,buy_sportswear
23,Где купить black diamond,buy_sportswear
24,Где купить marmot,buy_sportswear
25,Где купить mammut,buy_sportswear
26,Где купить petzl,buy_sportswear
27,Где купить grivel,buy_sportswear
28,Где купить asolo,buy_sportswear
29,Где купить bask,buy_sportswear
30,Где купить buff,buy_sportswear
31,Где купить deuter,buy_sportswear
32,Где купить garmin,buy_sportswear
33,Где купить jack wolfskin,buy_sportswear
34,Где купить kovea,buy_sportswear
35,Где купить lowe alpine,buy_sportswear
36,Где купить nova tour,buy_sportswear
37,Где купить redfox,buy_sportswear
38,Где купить primus,buy_sportswear
39,Где купить salewa,buy_sportswear
40,Где купить sivera,buy_sportswear
41,Где купить snow peak,buy_sportswear
42,Где купить tatonka,buy_sportswear
43,Где купить vento,buy_sportswear
44,Где купить union,buy_sportswear
45,Где купить head,buy_sportswear
46,Где купить thirty two,buy_sportswear
47,Где купить bern,buy_sportswear
48,Где купить dc,buy_sportswear
49,Где купить burton,buy_sportswear
50,Где купить jones,buy_sportswear
51,Где купить prosurf,buy_sportswear
52,Где купить arbor,buy_sportswear
53,Где купить spy,buy_sportswear
54,Где купить lib,buy_sportswear
55,Где купить tech,buy_sportswear
56,Где купить кроссовок,buy_sportswear
57,Где купить беговой кроссовка,buy_sportswear
58,Где купить волейбольный бутса,buy_sportswear
59,Где купить теннисный кроссовок,buy_sportswear
60,Где купить детский марафонка,buy_sportswear
61,Где купить ботинок,buy_sportswear
62,Где купить повседневный обувь,buy_sportswear
63,Где купить кед,buy_sportswear
64,Где купить шнурок,buy_sportswear
65,Где купить шиповки,buy_sportswear
66,Где купить сланцы,buy_sportswear
67,Где купить сандалия,buy_sportswear
68,Где купить стелька,buy_sportswear
69,Где купить борцовка,buy_sportswear
70,Где купить спортивный костюм,buy_sportswear
71,Где купить ветровка,buy_sportswear
72,Где купить спортивный брюки,buy_sportswear
73,Где купить топ,buy_sportswear
74,Где купить майка,buy_sportswear
75,Где купить футболка,buy_sportswear
76,Где купить поло,buy_sportswear
77,Где купить спортивный шорты,buy_sportswear
78,Где купить толстовка,buy_sportswear
79,Где купить термобелье,buy_sportswear
80,Где купить куртка,buy_sportswear
81,Где купить пуховик,buy_sportswear
82,Где купить беговой рубашка,buy_sportswear
83,Где купить плавки,buy_sportswear
84,Где купить купальник,buy_sportswear
85,Где купить компрессионный белье,buy_sportswear
86,Где купить тайтс,buy_sportswear
87,Где купить детский одежда,buy_sportswear
88,Где купить жилет,buy_sportswear
89,Где купить волейбольный форма,buy_sportswear
90,Где купить беговой форма,buy_sportswear
91,Где купить борцовский форма,buy_sportswear
92,Где купить баскетбольный форма,buy_sportswear
93,Где купить футбольный форма,buy_sportswear
94,Где купить теннисный форма,buy_sportswear
95,Где купить обувь,buy_sportswear
96,Где купить спортивный бра,buy_sportswear
